Unique_ID,ID_No,AnnPer,Functional group,CSR,Family,Name,Host No Host,R.Nodes.1,C.R.Nodes.1,R.Nodes.2,C.R.Nodes.2,R.Nodes.3,C.R.Nodes.3,R.Nodes.4,C.R.Nodes.4,R.Nodes.5,C.R.Nodes.F,Leaf.1,Leaf.2,Leaf.3,Leaf.4,Leaf.5,L.leaf,Width.1,Width.2,Width.3,Width.4,Width.5,W.width,Height.1,Height.2,Height.3,Height.4,Height.5,H.height
414,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,12,12,0,12,3.2,5.3,4.4,3.3,0,5.3,6,14.9,23.5,32.1,0,32.1,6.6,11.5,18.4,36.3,0,36.3
415,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,2,2,0,2,2.1,3.3,3.5,0,0,3.5,5.2,6.7,7.9,0,0,7.9,8.8,12.1,19.4,0,0,19.4
416,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,4,4,0,4,3.5,4.2,3.7,0,0,4.2,7.2,8.7,10.1,0,0,10.1,7,15.7,19.5,0,0,19.5
417,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,1,1,10,11,0,11,3.1,5,4,0,0,5,7.1,8.2,18.7,0,0,18.7,6.9,15.3,18.6,0,0,18.6
418,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,4,4,4,8,0,8,2,3.5,3.7,3.3,0,3.7,5,5.8,9.6,24.5,0,24.5,6.1,10.4,39.5,50.7,0,50.7
419,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,1.3,2.1,3.4,2.4,0,3.4,4,4.5,9.4,11,0,11,3.6,6.1,9.9,12,0,12
420,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,15,15,53,68,0,68,3.5,4.6,4.9,6.5,0,6.5,8.2,11.7,35.7,25.3,0,35.7,7.2,17.7,78.5,113.6,0,113.6
421,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,22,22,20,42,0,42,7.1,8.1,7.2,4.3,0,8.1,14.5,31,69.1,84.4,0,84.4,11.3,50.1,61.2,95.5,0,95.5
422,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,16,16,28,44,0,44,5.3,6.2,6.7,5.3,0,6.7,9.9,16.1,45.9,64.2,0,64.2,10,28.1,78.5,110,0,110
423,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,15,15,20,35,0,35,3.5,4.6,4.7,0,0,4.7,7.4,15.9,29,0,0,29,8.2,27,76,0,0,76
424,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,11,11,0,11,1.8,2.9,3.3,4.7,0,4.7,4,5.8,20,26.3,0,26.3,3.8,4.9,26.7,46.8,0,46.8
425,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,1,1,12,13,0,13,2.9,3.1,4.3,4.5,0,4.5,5.5,7.6,18.1,29.9,0,29.9,6.5,13.4,36.3,41.1,0,41.1
426,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,1.8,1.8,0,0,0,1.8,3.8,3.1,0,0,0,3.8,4.9,4.5,0,0,0,4.9
427,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,1,1,1,2,0,2,2.1,2.4,5.5,0,0,5.5,4.2,6.2,13.4,0,0,13.4,5.6,10.1,29.2,0,0,29.2
428,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,1,1,23,24,28,52,0,52,6.4,6.2,7.5,0,0,7.5,13.9,22.6,43.5,0,0,43.5,12.4,46.7,123.4,0,0,123.4
429,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,11,11,0,11,3.3,4,4,0,0,4,6,9.1,14.7,0,0,14.7,5.7,10.5,26.6,0,0,26.6
430,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,10,10,0,10,1.6,2.2,3.5,4,0,4,4.4,4.7,10.9,22.2,0,22.2,5.2,8.4,21.8,23.2,0,23.2
431,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,2,2,22,24,20,44,0,44,4.9,6.4,4.7,0,0,6.4,9.9,20.4,51,0,0,51,8.7,36.8,95.8,0,0,95.8
432,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,8,8,34,42,0,42,3.5,5.8,4.7,3.9,0,5.8,7.7,11.7,39.4,35.4,0,39.4,5.5,15.3,68.3,89.5,0,89.5
433,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,1.5,2.1,3.1,2.9,0,3.1,3.6,4.6,6.1,5.8,0,6.1,3.7,4,9.2,16.9,0,16.9
434,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,10,10,17,27,0,27,3.8,4.6,5.3,0,0,5.3,7.3,12,32.3,0,0,32.3,6.4,23.3,90.5,0,0,90.5
435,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,1.8,2.5,0,0,0,2.5,3.3,3,0,0,0,3.3,4.5,4.7,0,0,0,4.7
976,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,1.4,3.6,0,0,0,0,3.6,5.4,0,0,0,0,5.4
977,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,9,9,35,44,0,44,4.4,5.4,5.6,5.6,0,5.6,9.7,11.8,42.3,49.5,0,49.5,9.8,18.9,68.5,129.7,0,129.7
978,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,2,2,0,2,1.3,2.1,3.3,3.4,0,3.4,3.9,4.4,6.4,6.6,0,6.6,4.3,6.3,11.9,27.2,0,27.2
979,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,2.1,2.8,0,0,0,2.8,4.7,6.2,0,0,0,6.2,5.9,4.2,0,0,0,5.9
980,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6.5,0,0,0,0,6.5,10,0,0,0,0,10
1279,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,1.6,3.5,0,0,0,0,3.5,5.7,0,0,0,0,5.7
1280,1,Per,Grass,CSR,Poaceae,Agrostis capillaris,Host,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,1.9,4.3,0,0,0,0,4.3,6.5,0,0,0,0,6.5
672,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,3.3,3.1,0,0,0,3.3,8,5.3,0,0,0,8,9,10.1,0,0,0,10.1
673,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,2.4,3.4,3.5,2,0,3.5,5.2,6.1,6.7,9.5,0,9.5,7.2,7.1,9.2,11.9,0,11.9
674,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,3.1,0,1.7,1.2,0,3.1,7.8,0,6,6,0,7.8,7.4,0,12.8,11.6,0,12.8
675,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,1.9,2.5,2.6,2.4,0,2.6,4.8,7.3,4.8,5.5,0,7.3,5.4,7.3,14.1,15,0,15
676,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,3,3.3,0,0,0,3.3,5.4,6.8,0,0,0,6.8,8.37,7.7,0,0,0,8.37
677,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,2.5,2.8,0,0,0,2.8,5.6,6.3,0,0,0,6.3,6.2,7.3,0,0,0,7.3
678,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,2.9,2.9,0,0,0,2.9,6,6.1,0,0,0,6.1,6.7,9.4,0,0,0,9.4
679,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,2.2,3.1,3,1.6,0,3.1,5.1,5.8,5.5,3.4,0,5.8,3.9,6,7.9,9.5,0,9.5
680,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,2.1,3,0,0,0,3,5.5,5.8,0,0,0,5.8,5.2,4.4,0,0,0,5.2
681,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,2.1,4.7,0,0,0,0,4.7,5.1,0,0,0,0,5.1
682,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,3,2.6,3.1,0,0,3.1,5.7,4.9,4.7,0,0,5.7,6.2,7,12.3,0,0,12.3
683,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,1.5,2.1,2.1,0,0,2.1,4.4,3.8,3.6,0,0,4.4,3.6,5.3,4.7,0,0,5.3
684,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,3.1,1,0,0,0,3.1,6,3.4,0,0,0,6,8.6,8.5,0,0,0,8.6
685,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,4.5,4.4,0,0,0,4.5,9.8,6.9,0,0,0,9.8,11.8,17.4,0,0,0,17.4
686,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,4.8,4.9,0,0,0,4.9,9.7,9.6,0,0,0,9.7,10.1,12.8,0,0,0,12.8
687,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,2.4,2.7,0,0,0,2.7,5.5,4.9,0,0,0,5.5,5.5,4.7,0,0,0,5.5
688,2,Per,Forb,CR/CSR,Alliaceae,Allium ursinum,Host,0,0,0,0,0,0,0,0,0,0,1.4,1.6,0,0,0,1.6,3.5,3.9,0,0,0,3.9,2.1,3.2,0,0,0,3.2
