"","Host_Species","mean","sem"
"1","Allium ursinum",158,"NA"
"2","Meum athamanticum",152,"NA"
"3","Pinus sylvestris",134.5,"34.5000"
"4","Zea mays",129.1667,"5.1083"
"5","Anthriscus sylvestris",125.75,"14.4301"
"6","Ulex europaeus",121.5714,"12.7743"
"7","Leucanthemum vulgare",118.3333,"30.3223"
"8","Hyacinthoides non-scripta",114.6667,"6.1192"
"9","Vicia cracca",113.0909,"8.5338"
"10","Sorbus aucuparia",110.0769,"8.9798"
"11","Trifolium pratense",109.3846,"8.2660"
"12","Fragaria vesca",109.3333,"7.6977"
"13","Rumex acetosella",108.3333,"9.6804"
"14","Agrostis capillaris",108.0476,"5.6195"
"15","Holcus lanatus",107.4,"13.2159"
"16","Ononis spinosa",104,"NA"
"17","Erica tetralix",103,"NA"
"18","Galium verum",102.3,"7.5944"
"19","Silene latifolia",101.5,"12.7443"
"20","Phleum pratense",101.3636,"7.5523"
"21","Mimulus guttatus",99.3571,"7.7648"
"22","Helianthemum nummularium",98.3333,"10.2198"
"23","Lagurus ovatus",97.3333,"14.8361"
"24","Festuca rubra",95.2222,"6.4553"
"25","Silene dioica",94.5789,"5.6311"
"26","Equisetum arvense",94.5625,"4.9303"
"27","Cystopteris dickieana",94,"24.0000"
"28","Tragopogon pratensis",92.6364,"6.6062"
"29","Hordeum vulgare",92.4783,"4.7751"
"30","Papaver rhoeas",89.4,"8.5884"
"31","Cynosurus cristatus",84.7083,"3.6178"
"32","Chenopodium bonus-henricus",83.5,"5.8683"
"33","Senecio vulgaris",82.8571,"2.9230"
"34","Lathyrus japonicus",81.4667,"5.1352"
"35","Chenopodium album",78.5714,"5.1342"
"36","Lotus corniculatus",78,"3.4952"
"37","Plantago lanceolata",74.6207,"2.5113"
"38","Centranthus ruber",74.4286,"4.7193"
"39","Centaurea nigra",74,"NA"
"40","Arabidopsis thaliana",73.1579,"3.1965"
"41","Galium aparine",70.8148,"2.6355"
"42","Galanthus nivalis",66.3333,"1.7638"
