"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",-4.12984800565648,-17.0772511402611,5.48053898868966,550.172676224747,0.342
"Time3",2.37125054177375,1.58619390109379,3.20310456227162,773.187196010759,0.001
"Time4",3.06301011010673,2.13780750960905,3.91661561980436,1000,0.001
"AnnPerAnn",0.787194782888668,-1.23852331719536,2.84995714401703,1000,0.446
"Functional_groupFern",-4.36116604519906,-16.8976574731787,6.67087299990817,789.823810029493,0.396
"Functional_groupForb",-2.31779478817004,-9.43091782503689,3.75835340245976,793.815089958752,0.442
"Functional_groupLegume",-2.36573386890097,-10.7234669335085,5.14725179671586,756.945999828657,0.576
"Functional_groupWoody",-7.66726739930577,-15.5031695032667,-1.08389586542762,549.435793615306,0.018
"Transplant.Date",-0.0760108510423166,-0.0919060454980354,-0.0625387022882933,1000,0.001
"Time3:AnnPerAnn",-0.944812577418891,-2.09646761325712,0.100171693280572,999.999999999999,0.092
"Time4:AnnPerAnn",-2.33832504496001,-3.6056581021985,-0.889737406017957,1000,0.004
