"","Name","Time","MeanT","SEMT"
"1","Cynosurus cristatus","1",0,"± 0"
"2","Cynosurus cristatus","2",1.03448275862069,"± 0.362947561726587"
"3","Cynosurus cristatus","3",26.7241379310345,"± 4.89568437471795"
"4","Cynosurus cristatus","4",25.8275862068966,"± 4.34051510118771"
"5","Cynosurus cristatus","5",0,"± 0"
"6","Lotus corniculatus","1",0,"± 0"
"7","Lotus corniculatus","2",3.31034482758621,"± 1.07261414503434"
"8","Lotus corniculatus","3",39.6896551724138,"± 8.12466042462439"
"9","Lotus corniculatus","4",61.4827586206897,"± 15.3172220829709"
"10","Lotus corniculatus","5",0.0344827586206897,"± 0.0344827586206897"
"11","Trifolium pratense","1",0,"± 0"
"12","Trifolium pratense","2",0.241379310344828,"± 0.137313890293265"
"13","Trifolium pratense","3",4.13793103448276,"± 1.73256560942526"
"14","Trifolium pratense","4",16.9655172413793,"± 7.26461203887864"
"15","Trifolium pratense","5",0.172413793103448,"± 0.172413793103448"
