"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","1.9589","0.4066","3.3005","1462.0624","0.0160"
"Time2","-1.2408","-1.3876","-1.1132","1000.0000","0.0010"
"Time3","-1.4890","-1.6382","-1.3391","1000.0000","0.0010"
"Time4","-5.1901","-5.7310","-4.6681","833.7240","0.0010"
"AnnPerAnn","0.1991","-0.3401","0.6583","1000.0000","0.3980"
"Transplant.Date","-0.0174","-0.0229","-0.0128","1000.0000","0.0010"
"Functional_groupFern","-0.2392","-1.6676","1.4673","1433.4916","0.7240"
"Functional_groupForb","-0.3433","-1.1890","0.4549","1000.0000","0.3920"
"Functional_groupLegume","-0.0656","-1.1742","0.9270","1000.0000","0.9020"
"Functional_groupWoody","-0.6813","-1.5953","0.3294","1000.0000","0.1520"
