"","Species","E.tetraquetra.1","E.tetraquetra.2","E.tetraquetra.3","E.tetraquetra.4","E.tetraquetra.5","E.tetraquetra.6","E.tetraquetra.7","E.tetraquetra.8","E.tetraquetra.9","E.tetraquetra.10","E.tetraquetra.11","E.tetraquetra.12","E.tetraquetra.13","E.tetraquetra.14","E.tetraquetra.15","E.tetraquetra.16","E.tetraquetra.17","E.tetraquetra.18","E.tetraquetra.19","E.tetraquetra.20","E.tetraquetra.21","E.tetraquetra.22","E.tetraquetra.23","E.tetraquetra.24","E.tetraquetra.25","E.vigursii.1","E.vigursii.2","E.vigursii.3","E.vigursii.4","E.vigursii.5","E.vigursii.6","E.vigursii.7","E.vigursii.8","E.vigursii.9","E.vigursii.10","E.vigursii.11","E.vigursii.12","E.vigursii.13","E.vigursii.14","E.vigursii.15","E.vigursii.16","E.vigursii.17","E.vigursii.18","E.vigursii.19","E.vigursii.20","E.vigursii.21","E.vigursii.22","E.vigursii.23","E.vigursii.24","E.vigursii.25","E.anglica.1","E.anglica.2","E.anglica.3","E.anglica.4","E.anglica.5","E.anglica.6","E.anglica.7","E.anglica.8","E.anglica.9","E.anglica.10","E.anglica.11","E.anglica.12","E.anglica.13","E.anglica.14","E.anglica.15","E.anglica.16","E.anglica.17","E.anglica.18","E.anglica.19","E.anglica.20","E.anglica.21","E.anglica.22","E.anglica.23","E.anglica.24","E.anglica.25","E.micrantha.1","E.micrantha.2","E.micrantha.3","E.micrantha.4","E.micrantha.5","E.micrantha.6","E.micrantha.7","E.micrantha.8","E.micrantha.9","E.micrantha.10","E.micrantha.11","E.micrantha.12","E.micrantha.13","E.micrantha.14","E.micrantha.15"
"1","Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Agrimonia_eupatorium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Agrostis_capillaris",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"4","Agrostis_vinealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Aira_caryophyllaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6","Alchemilla_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Anthoxanthum_odoratum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"8","Arrhenatherum_elatius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Calluna_vulgaris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","Carex_caryophyllaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
