Germ_date,Trans_date,Unique_ID,Host_code,Population,Euphrasia_sp,Notes,Euphrasia dead,Host dead
09/04/2018,19/04/2018,A1,ACU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A2,ACU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A3,ACU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A4,ACU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A5,CVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A6,CVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A7,CVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A8,CVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A9,DFL,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A10,DFL,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A11,DFL,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A12,DFL,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A13,FOV,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A14,FOV,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A15,FOV,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A16,FOV,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A17,LPE,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A18,LPE,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A19,LPE,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A20,LPE,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A21,HLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A22,HLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A23,HLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A24,HLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A25,LCO,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A26,LCO,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A27,LCO,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A28,LCO,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A29,OVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A30,OVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A31,OVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A32,OVU,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A33,PLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A34,PLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A35,PLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A36,PLA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A37,PMA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A38,PMA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A39,PMA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A40,PMA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A41,UGA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A42,UGA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A43,UGA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A44,UGA,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A45,VCH,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A46,VCH,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A47,VCH,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A48,VCH,V1761,Euphrasia vigursii,,,
09/04/2018,19/04/2018,A49,ACU,A1763,Euphrasia anglica,,,
09/04/2018,19/04/2018,A50,ACU,A1763,Euphrasia anglica,,,
09/04/2018,19/04/2018,A51,ACU,A1763,Euphrasia anglica,,,
09/04/2018,19/04/2018,A52,ACU,A1763,Euphrasia anglica,,,
09/04/2018,19/04/2018,A53,CVU,A1763,Euphrasia anglica,,,
09/04/2018,19/04/2018,A54,CVU,A1763,Euphrasia anglica,,,
