Unique ID,Leaf collected,Indumentum,Flower colour,Purple flushed,Node,Flower date,Height,Corolla size,Teeth,Branches,Leaf length,Internode length,Cauline ratio,Aborted node,Leaf circularity index,Capsule length,Capsule width,Calyx length,Calyx ratio,Notes
B306,1,1,W,0,5,08/06/2018,46.7,10.8,5,0,6.6,9.2,1.393939394,,,,,,,
B159,1,1,W,0,4,10/06/2018,32.1,8.5,3,0,6.5,9.3,1.430769231,,,,,,,
A1068,0,0,W,0,5,08/06/2018,21.5,4.8,3,0,5,4.3,0.86,,,,,,,
B148,1,1,V,0,6,08/06/2018,89,11.2,6,1,10.1,23.2,2.297029703,,,,,,,
B140,1,1,W,0,5,08/06/2018,64.5,11.6,5,0,11.2,20.9,1.866071429,,,,,,,
B1794,1,1,W,0,4,08/06/2018,84.2,11.2,5,0,10.6,27,2.547169811,,,,,,,
B470,1,1,W,0,5,08/06/2018,46.5,9.9,5,0,8.9,7.4,0.831460674,,,,,,,
B296,1,1,W,0,6,11/06/2018,77.7,9.3,5,1,9,19.3,2.144444444,,,,,,,
B1168,1,1,W,0,4,11/06/2018,55.4,8.4,4,0,8.6,16.1,1.872093023,,,,,,,
B158,1,1,W,0,5,11/06/2018,59.1,8.7,4,0,10.5,16.7,1.59047619,,,,,,,
A426,0,1,V,0,6,11/06/2018,27.3,9.3,5,1,7.8,4.7,0.602564103,,,,,,,
B301,1,1,W,0,5,10/06/2018,38.5,8.6,4,1,8.9,10,1.123595506,,,,,,,
B287,1,1,W,0,6,13/06/2018,23.9,7.2,5,0,6.1,3,0.491803279,,,,,,,
A116,0,0,W,1,5,13/06/2018,23.3,5.3,3,0,3.5,3.4,0.971428571,,,,,,,
B456,1,0,W,0,5,14/06/2018,12.5,5,3,0,4,1.1,0.275,,,,,,,
B298,1,1,W,0,5,12/06/2018,41.9,9.4,3,0,7,9.4,1.342857143,,,,,,,
B469,1,1,W,0,5,12/06/2018,68.3,10.4,4,0,9.6,18.6,1.9375,,,,,,,
B1790,1,1,W,0,4,13/06/2018,33.8,7,5,0,8,5.8,0.725,,,,,,,
B1911,1,1,W,0,4,13/06/2018,46.9,8.2,5,0,10.3,10.6,1.029126214,,,,,,,
B472,1,1,W,0,5,12/06/2018,54.5,7.7,5,0,8.4,15.9,1.892857143,,,,,,,
B1784,1,1,W,0,6,12/06/2018,74.8,9.7,6,3,15.7,15.2,0.968152866,,,,,,,
B144,1,1,V,0,5,13/06/2018,60.8,9.4,4,1,9.4,15.5,1.64893617,,,,,,,
B147,1,1,V,0,6,13/06/2018,69.3,10.5,5,0,7.8,14.3,1.833333333,,,,,,,
B295,1,1,V,0,5,12/06/2018,71.6,10.9,4,0,8,16.2,2.025,,,,,,,
B679,1,1,W,0,5,13/06/2018,50.5,10.9,4,0,7.9,11.8,1.493670886,,,,,,,
B1783,1,1,W,0,4,12/06/2018,89.4,12.1,4,1,12.2,28.5,2.336065574,,,,,,,
B137,1,1,W,0,5,13/06/2018,58.8,9.6,5,1,9.7,14.5,1.494845361,,,,,,,
B686,1,1,W,0,5,13/06/2018,16.9,8.7,4,0,4.7,1.8,0.382978723,,,,,,,
B1170,1,1,W,0,6,14/06/2018,58.7,8.1,5,0,6.7,7,1.044776119,,,,,,,
B1799,1,1,W,0,5,14/06/2018,50.8,7.6,5,0,6.7,8.2,1.223880597,,,,,,,
B667,1,1,W,0,6,15/06/2018,48.4,1,5,0,6.8,7.1,1.044117647,,,,,,,
B299,1,1,W,0,5,15/06/2018,41.4,7.1,4,0,7.6,13.6,1.789473684,,,,,,,
B1787,1,1,W,0,5,15/06/2018,45.9,6.8,5,1,10,10.1,1.01,,,,,,,
B285,1,1,W,0,6,15/06/2018,26.4,6.3,5,3,6.2,2.7,0.435483871,,,,,,,
B476,1,1,W,0,5,15/06/2018,29.4,7.4,4,0,5.6,4,0.714285714,,,,,,,
B1178,1,1,W,0,5,15/06/2018,34.6,6.8,5,0,5.5,4.8,0.872727273,,,,,,,
B1173,1,1,W,0,5,15/06/2018,41.6,7.2,5,0,9,5.4,0.6,,,,,,,
B1795,1,1,W,0,5,15/06/2018,36.1,6.8,5,0,7,6.4,0.914285714,,,,,,,
B1615,1,1,W,0,5,15/06/2018,56.3,8.2,6,0,12.1,9.9,0.818181818,,,,,,,
C164,0,1,W,0,5,14/06/2018,86.5,9.3,5,1,12.3,25.3,2.056910569,,,,,,,
C163,0,1,W,0,5,14/06/2018,76.9,6.7,4,0,9,21.9,2.433333333,,,,,,,
B141,1,1,W,0,8,16/06/2018,114.6,10.6,6,0,9.2,20.4,2.217391304,,,,,,,
A208,0,1,W,0,6,16/06/2018,30.1,9.3,4,2,7,6.6,0.942857143,,,,,,,
B146,1,1,W,0,6,17/06/2018,79.2,10.3,5,0,8.1,21.5,2.654320988,,,,,,,
B473,1,1,W,0,5,17/06/2018,59.6,9.6,4,0,6.5,18,2.769230769,,,,,,,
B1619,1,1,W,0,5,17/06/2018,27.1,10.2,4,0,5.1,2.5,0.490196078,,,,,,,
B1965,1,1,W,0,4,17/06/2018,38.5,9.9,5,0,5.9,0.6,0.101694915,,,,,,,
B675,1,1,W,0,5,18/06/2018,40,9.6,4,0,6,9.6,1.6,,,,,,,
B1913,1,1,W,0,4,18/06/2018,72.9,11.1,5,0,10.3,17.9,1.737864078,,,,,,,
B1791,1,1,W,0,4,19/06/2018,71.1,11,5,1,10.7,21.3,1.990654206,,,,,,,
