"","Variable","Grouped_Value"
"1","Host_given_population.A1763.LCO",0.322847261071127
"2","Host_given_population.A1766.UGA",0.536536358552997
"3","Host_given_population.A1766.OVU",0.619491340083041
"4","Host_given_population.A1766.VCH",0.660687186184742
"5","Host_given_population.A1763.PMA",0.683683116082124
"6","Host_given_population.A1763.FOV",0.815466858193986
"7","Host_given_population.A1763.OVU",0.86567754159359
"8","Host_given_population.A1766.PLA",0.8921074642999
"9","Host_given_population.A1763.UGA",0.974667977609764
"10","Host_code.ACU",0.97540062815892
"11","Host_given_population.A1763.ACU",0.98394410243507
"12","Host_code.OVU",0.987001652279167
"13","Host_given_population.A1766.ACU",0.990781285505584
"14","Host_code.PMA",0.993907273781943
"15","Host_code.FOV",0.998802206417675
"16","Host_code.VCH",0.999762510674403
"17","Host_code.UGA",0.999780136385281
"18","Host_code.HLA",1.00175367321922
"19","Host_code.LPE",1.00254341353296
"20","Host_code.PLA",1.00363820054468
"21","Host_code.LCO",1.00460910424079
"22","Host_code.DFL",1.00986252876328
"23","Host_given_population.A1763.PLA",1.03966684376532
"24","Host_given_population.A1766.PMA",1.06859295936302
"25","Host_given_population.A1763.HLA",1.16979917971552
"26","Host_given_population.A1766.FOV",1.18423568510919
"27","Host_given_population.A1763.DFL",1.20227809762929
"28","Host_given_population.A1766.LPE",1.26054100475575
"29","Host_given_population.A1766.DFL",1.45214567606834
"30","Host_given_population.A1763.VCH",1.52642998531415
"31","Host_given_population.A1766.LCO",1.64100182511195
"32","Host_given_population.A1763.LPE",1.71910183483883
