"","Variable","Grouped_Value"
"1","Host_given_Euphrasia.Euphrasia anglica.LCO","0.4796"
"2","Host_code.HPU","0.4924"
"3","Host_code.CVU","0.6172"
"4","Host_code.OVU","0.6612"
"5","Host_given_Euphrasia.Euphrasia vigursii.HPU","0.7289"
"6","Host_given_Euphrasia.Euphrasia micrantha.HPU","0.7402"
"7","Host_given_Euphrasia.Euphrasia micrantha.PLA","0.7558"
"8","Host_given_Euphrasia.Euphrasia vigursii.FOV","0.7572"
"9","Host_given_Euphrasia.Euphrasia vigursii.OVU","0.7637"
"10","Host_given_Euphrasia.Euphrasia vigursii.HLA","0.7762"
"11","Host_given_Euphrasia.Euphrasia anglica.UGA","0.7787"
"12","Host_given_Euphrasia.Euphrasia micrantha.DFL","0.7835"
"13","Host_code.PMA","0.8033"
"14","Host_given_Euphrasia.Euphrasia tetraquetra.ACU","0.8150"
"15","Host_given_Euphrasia.Euphrasia tetraquetra.VCH","0.8244"
"16","Host_code.UGA","0.8271"
"17","Host_given_Euphrasia.Euphrasia micrantha.HLA","0.8282"
"18","Host_given_Euphrasia.Euphrasia tetraquetra.OVU","0.8379"
"19","Host_given_Euphrasia.Euphrasia anglica.PMA","0.8423"
"20","Host_given_Euphrasia.Euphrasia tetraquetra.PMA","0.8439"
"21","Host_given_Euphrasia.Euphrasia micrantha.LCO","0.8498"
"22","Host_given_Euphrasia.Euphrasia vigursii.DFL","0.8696"
"23","Host_given_Euphrasia.Euphrasia micrantha.CVU","0.8753"
"24","Host_code.HLA","0.8846"
"25","Host_given_Euphrasia.Euphrasia tetraquetra.FOV","0.8885"
"26","Host_given_Euphrasia.Euphrasia tetraquetra.HLA","0.9103"
"27","Host_given_Euphrasia.Euphrasia tetraquetra.CVU","0.9190"
"28","Host_given_Euphrasia.Euphrasia tetraquetra.UGA","0.9202"
"29","Host_given_Euphrasia.Euphrasia vigursii.ACU","0.9335"
"30","Host_given_Euphrasia.Euphrasia vigursii.LPE","0.9371"
"31","Host_given_Euphrasia.Euphrasia anglica.ACU","0.9403"
"32","Host_given_Euphrasia.Euphrasia vigursii.UGA","0.9613"
"33","Host_code.FOV","0.9851"
"34","Host_given_Euphrasia.Euphrasia tetraquetra.DFL","1.0216"
"35","Host_given_Euphrasia.Euphrasia anglica.OVU","1.0286"
"36","Host_given_Euphrasia.Euphrasia vigursii.VCH","1.0318"
"37","Host_given_Euphrasia.Euphrasia anglica.VCH","1.0324"
"38","Host_given_Euphrasia.Euphrasia anglica.FOV","1.0648"
"39","Host_given_Euphrasia.Euphrasia vigursii.PMA","1.0765"
"40","Host_given_Euphrasia.Euphrasia micrantha.PMA","1.0919"
"41","Host_given_Euphrasia.Euphrasia micrantha.UGA","1.1097"
"42","Host_given_Euphrasia.Euphrasia micrantha.LPE","1.1127"
"43","Host_code.ACU","1.1402"
"44","Host_code.PLA","1.1526"
"45","Host_code.VCH","1.1593"
"46","Host_given_Euphrasia.Euphrasia tetraquetra.LPE","1.1616"
"47","Host_given_Euphrasia.Euphrasia anglica.PLA","1.1672"
"48","Host_code.DFL","1.1878"
"49","Host_given_Euphrasia.Euphrasia micrantha.VCH","1.1903"
"50","Host_given_Euphrasia.Euphrasia micrantha.OVU","1.1964"
"51","Host_given_Euphrasia.Euphrasia micrantha.ACU","1.1971"
"52","Host_given_Euphrasia.Euphrasia micrantha.FOV","1.2071"
"53","Host_given_Euphrasia.Euphrasia anglica.LPE","1.2257"
"54","Host_given_Euphrasia.Euphrasia tetraquetra.PLA","1.2697"
"55","Host_given_Euphrasia.Euphrasia anglica.DFL","1.3660"
"56","Host_given_Euphrasia.Euphrasia anglica.HLA","1.3770"
"57","Host_given_Euphrasia.Euphrasia vigursii.LCO","1.4854"
"58","Host_code.LPE","2.1866"
"59","Host_given_Euphrasia.Euphrasia tetraquetra.LCO","2.4164"
"60","Host_code.LCO","2.5845"
