"","Variable","Grouped_Value"
"1","Host_code.HPU",0.500988792688263
"2","Host_code.CVU",0.636756311748029
"3","Host_code.PLA",0.69568623488218
"4","Host_code.HLA",0.704311720251321
"5","Host_code.DFL",0.809876820878492
"6","Host_code.OVU",0.824368106607914
"7","Host_code.UGA",0.883755774432964
"8","Host_code.PMA",0.988840529355563
"9","Host_given_population.M1769.LCO",0.996478754781664
"10","Host_given_population.M1768.FOV",0.996947084483388
"11","Host_given_population.M1769.FOV",0.997102974680406
"12","Host_given_population.M1767.ACU",0.997209482333048
"13","Host_given_population.M1767.VCH",0.997394276781161
"14","Host_given_population.M1768.PLA",0.997403991673032
"15","Host_given_population.M1769.OVU",0.997568603359987
"16","Host_given_population.M1768.VCH",0.998274587221376
"17","Host_given_population.M1769.PMA",0.998683732058619
"18","Host_given_population.M1769.CVU",0.998716925169194
"19","Host_given_population.M1768.ACU",0.998971222152037
"20","Host_given_population.M1768.HLA",0.99906925079783
"21","Host_given_population.M1768.OVU",0.999153178670561
"22","Host_given_population.M1768.UGA",0.999605416546497
"23","Host_given_population.M1768.LCO",0.999684287058961
"24","Host_given_population.M1767.LCO",1.00000355759851
"25","Host_given_population.M1769.PLA",1.00008774089765
"26","Host_given_population.M1769.HLA",1.00010791257796
"27","Host_given_population.M1767.FOV",1.00018144810738
"28","Host_given_population.M1767.OVU",1.00049453535759
"29","Host_given_population.M1768.HPU",1.00059250106775
"30","Host_given_population.M1768.PMA",1.00086221412242
"31","Host_given_population.M1769.VCH",1.00140874334429
"32","Host_given_population.M1768.DFL",1.00144820955933
"33","Host_given_population.M1768.CVU",1.0020301260486
"34","Host_given_population.M1767.HLA",1.00234770895298
"35","Host_given_population.M1767.LPE",1.00236497037873
"36","Host_given_population.M1769.HPU",1.00261394578558
"37","Host_given_population.M1768.LPE",1.00358658832326
"38","Host_given_population.M1769.UGA",1.00417055983987
"39","Host_given_population.M1769.DFL",1.0045589219877
"40","Host_given_population.M1769.ACU",1.00481494456775
"41","Host_given_population.M1769.LPE",1.00848286396767
"42","Host_code.FOV",1.04710944310972
"43","Host_code.VCH",1.35972240595536
"44","Host_code.ACU",1.39277924365522
"45","Host_code.LCO",1.50676833110829
"46","Host_code.LPE",2.59045148675999
