Host_code,Euphrasia_sp2,N
Plantago lanceolata,Euphrasia anglica,25
Agrostis curtisii,Euphrasia anglica,24
Holcus lanatus,Euphrasia anglica,6
Lolium perenne,Euphrasia anglica,33
Festuca ovina,Euphrasia anglica,12
Origanum vulgare,Euphrasia anglica,8
Deschampsia flexuosa,Euphrasia anglica,18
Veronica chamaedrys,Euphrasia anglica,12
Plantago maritima,Euphrasia anglica,10
Ulex gallii,Euphrasia anglica,14
Lotus corniculatus,Euphrasia anglica,6
Holcus lanatus,Euphrasia micrantha,10
Plantago lanceolata,Euphrasia micrantha,5
Agrostis curtisii,Euphrasia micrantha,21
Plantago maritima,Euphrasia micrantha,19
Hypericum pulchrum,Euphrasia micrantha,8
Origanum vulgare,Euphrasia micrantha,25
Ulex gallii,Euphrasia micrantha,11
Festuca ovina,Euphrasia micrantha,22
Veronica chamaedrys,Euphrasia micrantha,26
Lolium perenne,Euphrasia micrantha,32
Deschampsia flexuosa,Euphrasia micrantha,12
Lotus corniculatus,Euphrasia micrantha,16
Calluna vulgaris,Euphrasia micrantha,7
Plantago lanceolata,Euphrasia tetraquetra,25
Holcus lanatus,Euphrasia tetraquetra,9
Lotus corniculatus,Euphrasia tetraquetra,31
Festuca ovina,Euphrasia tetraquetra,20
Origanum vulgare,Euphrasia tetraquetra,14
Ulex gallii,Euphrasia tetraquetra,10
Lolium perenne,Euphrasia tetraquetra,34
Agrostis curtisii,Euphrasia tetraquetra,24
Plantago maritima,Euphrasia tetraquetra,18
Deschampsia flexuosa,Euphrasia tetraquetra,12
Calluna vulgaris,Euphrasia tetraquetra,1
Veronica chamaedrys,Euphrasia tetraquetra,5
Deschampsia flexuosa,Euphrasia vigursii,3
Lolium perenne,Euphrasia vigursii,8
Lotus corniculatus,Euphrasia vigursii,2
Agrostis curtisii,Euphrasia vigursii,7
Veronica chamaedrys,Euphrasia vigursii,11
Festuca ovina,Euphrasia vigursii,7
Origanum vulgare,Euphrasia vigursii,4
Hypericum pulchrum,Euphrasia vigursii,1
Plantago maritima,Euphrasia vigursii,4
Ulex gallii,Euphrasia vigursii,2
Holcus lanatus,Euphrasia vigursii,1
