"","Germ_date","Trans_date","Unique_ID","Host_code","Population","Euphrasia_sp","Leaf collected","Indumentum","Flower colour","Purple flushed","Node","Flower date","Height","Corolla size","Teeth","Branches","Leaf length","Internode length","Cauline ratio","Euphrasia_sp2","Population2"
"1","10/04/2018","19/04/2018","B306","PLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-08,46.7,"10.8","5","0","6.6","9.2","1.393939394","Euphrasia montana","M1787"
"2","09/04/2018","19/04/2018","B159","HLA","M1787","Euphrasia montana",1,1,"W","0","4",2018-06-10,32.1,"8.5","3","0","6.5","9.3","1.430769231","Euphrasia montana","M1787"
"3","17/04/2018","26/04/2018","A1068","LPE","M1768","Euphrasia micrantha",0,0,"W","0","5",2018-06-08,21.5,"4.8","3","0","5","4.3","0.86","Euphrasia micrantha","M1768"
"4","09/04/2018","19/04/2018","B148","HLA","M1787","Euphrasia montana",1,1,"V","0","6",2018-06-08,89,"11.2","6","1","10.1","23.2","2.297029703","Euphrasia montana","M1787"
"5","09/04/2018","19/04/2018","B140","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-08,64.5,"11.6","5","0","11.2","20.9","1.866071429","Euphrasia montana","M1787"
"6","25/04/2018","02/05/2018","B1794","PLA","M1787","Euphrasia montana",1,1,"W","0","4",2018-06-08,84.2,"11.2","5","0","10.6","27","2.547169811","Euphrasia montana","M1787"
"7","11/04/2018","23/04/2018","B470","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-08,46.5,"9.9","5","0","8.9","7.4","0.831460674","Euphrasia montana","M1787"
"8","10/04/2018","19/04/2018","B296","HLA","M1787","Euphrasia montana",1,1,"W","0","6",2018-06-11,77.7,"9.3","5","1","9","19.3","2.144444444","Euphrasia montana","M1787"
"9","17/04/2018","26/04/2018","B1168","HLA","M1787","Euphrasia montana",1,1,"W","0","4",2018-06-11,55.4,"8.4","4","0","8.6","16.1","1.872093023","Euphrasia montana","M1787"
"10","09/04/2018","19/04/2018","B158","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-11,59.1,"8.7","4","0","10.5","16.7","1.59047619","Euphrasia montana","M1787"
"11","11/04/2018","23/04/2018","A426","FOV","A1766","Euphrasia anglica",0,1,"V","0","6",2018-06-11,27.3,"9.3","5","1","7.8","4.7","0.602564103","Euphrasia anglica","A1766"
